-0.022943,-1.3773,2.3489,-2.5424,-1.5708,-0.022943
-0.023021,-1.3775,2.3489,-2.5422,-1.5708,-0.023021
-0.023555,-1.3789,2.349,-2.5409,-1.5708,-0.023555
-0.024967,-1.3827,2.3491,-2.5373,-1.5708,-0.024967
-0.027643,-1.3898,2.3494,-2.5304,-1.5708,-0.027643
-0.031942,-1.4011,2.3498,-2.5194,-1.5708,-0.031942
-0.038199,-1.4175,2.35,-2.5034,-1.5708,-0.038199
-0.046736,-1.4394,2.35,-2.4814,-1.5708,-0.046736
-0.057861,-1.4674,2.3494,-2.4527,-1.5708,-0.057861
-0.071881,-1.5017,2.3475,-2.4166,-1.5708,-0.071881
-0.0891,-1.5421,2.3437,-2.3724,-1.5708,-0.0891
-0.10983,-1.5883,2.3371,-2.3196,-1.5708,-0.10983
-0.13436,-1.6394,2.3267,-2.2581,-1.5708,-0.13436
-0.16302,-1.6941,2.3114,-2.1881,-1.5708,-0.16302
-0.1961,-1.7507,2.2901,-2.1102,-1.5708,-0.1961
-0.23389,-1.807,2.2617,-2.0255,-1.5708,-0.23389
-0.27666,-1.8608,2.2253,-1.9353,-1.5708,-0.27666
-0.32462,-1.9098,2.1803,-1.8413,-1.5708,-0.32462
-0.37794,-1.9521,2.1264,-1.7451,-1.5708,-0.37794
-0.43673,-1.9861,2.0635,-1.6481,-1.5708,-0.43673
-0.501,-2.011,1.9918,-1.5516,-1.5708,-0.501
-0.5707,-2.0263,1.9119,-1.4564,-1.5708,-0.5707
-0.64569,-2.0322,1.8245,-1.3631,-1.5708,-0.64569
-0.72581,-2.0293,1.7307,-1.2722,-1.5708,-0.72581
-0.81091,-2.0186,1.6318,-1.184,-1.5708,-0.81091
-0.90089,-2.0012,1.5292,-1.0988,-1.5708,-0.90089
-0.99582,-1.9788,1.4252,-1.0172,-1.5708,-0.99582
-1.096,-1.9531,1.3221,-0.93984,-1.5708,-1.096
-1.202,-1.9263,1.2235,-0.86798,-1.5708,-1.202
-1.3147,-1.901,1.1336,-0.80344,-1.5708,-1.3147
-1.4354,-1.8801,1.0581,-0.74881,-1.5708,-1.4354
-1.5654,-1.8668,1.0034,-0.70738,-1.5708,-1.5654
-1.7045,-1.8628,0.97403,-0.68204,-1.5708,-1.7045
-1.8498,-1.8676,0.97109,-0.6743,-1.5708,-1.8498
-1.9968,-1.8795,0.99324,-0.68449,-1.5708,-1.9968
-2.1399,-1.8963,1.0372,-0.71172,-1.5708,-2.1399
-2.2743,-1.9152,1.0985,-0.75414,-1.5708,-2.2743
-2.3964,-1.9341,1.1727,-0.80938,-1.5708,-2.3964
-2.5048,-1.9515,1.2556,-0.87489,-1.5708,-2.5048
-2.5995,-1.9665,1.3439,-0.94824,-1.5708,-2.5995
-2.6819,-1.9787,1.4352,-1.0273,-1.5708,-2.6819
-2.7537,-1.9884,1.5278,-1.1102,-1.5708,-2.7537
-2.8173,-1.995,1.6203,-1.1961,-1.5708,-2.8173
-2.8745,-1.9979,1.7116,-1.2845,-1.5708,-2.8745
-2.9269,-1.9963,1.8006,-1.3751,-1.5708,-2.9269
-2.9752,-1.9893,1.8864,-1.4679,-1.5708,-2.9752
-3.0202,-1.9758,1.9679,-1.5629,-1.5708,-3.0202
-3.0622,-1.9551,2.0444,-1.6601,-1.5708,-3.0622
-3.1014,-1.9266,2.115,-1.7593,-1.5708,-3.1014
-3.1381,-1.8897,2.1791,-1.8603,-1.5708,-3.1381
-3.1722,-1.8444,2.236,-1.9624,-1.5708,-3.1722
-3.2039,-1.7914,2.2854,-2.0648,-1.5708,-3.2039
-3.2331,-1.7316,2.327,-2.1661,-1.5708,-3.2331
-3.2598,-1.6667,2.3608,-2.2649,-1.5708,-3.2598
-3.284,-1.5987,2.3872,-2.3593,-1.5708,-3.284
-3.3059,-1.5299,2.4068,-2.4477,-1.5708,-3.3059
-3.3254,-1.4624,2.4204,-2.5288,-1.5708,-3.3254
-3.3427,-1.3982,2.4289,-2.6015,-1.5708,-3.3427
-3.3578,-1.3389,2.4334,-2.6653,-1.5708,-3.3578
-3.3709,-1.2856,2.4349,-2.7201,-1.5708,-3.3709
-3.382,-1.2388,2.4343,-2.7663,-1.5708,-3.382
-3.3913,-1.1988,2.4324,-2.8044,-1.5708,-3.3913
-3.3989,-1.1656,2.4299,-2.8352,-1.5708,-3.3989
-3.4049,-1.1388,2.4273,-2.8593,-1.5708,-3.4049
-3.4096,-1.118,2.4249,-2.8777,-1.5708,-3.4096
-3.413,-1.1027,2.4229,-2.891,-1.5708,-3.413
-3.4154,-1.0921,2.4214,-2.9001,-1.5708,-3.4154
-3.4169,-1.0855,2.4204,-2.9058,-1.5708,-3.4169
-3.4176,-1.082,2.4199,-2.9087,-1.5708,-3.4176
-3.4179,-1.0806,2.4197,-2.9099,-1.5708,-3.4179
-3.418,-1.0804,2.4197,-2.91,-1.5708,-3.418
